smiles,label_3cl,label_cell
Cc1ccc(C)c(-n2sc3cc(F)ccc3c2=O)c1,1.0,0.0
Cc1cc(C)c(Nc2ccnc(Nc3ccc(C#N)cc3)n2)c(C)c1,0.0,1.0
CCCC1(CCc2ccccc2)CC(O)=C(C(CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,1.0,1.0
C[C@@H]1CS/C(=N\NC(=O)C(=O)[C@H](NC(=O)C2CCCCCC2)C2CCOCC2)N1C,0.0,1.0
CC1(C)[C@H]2CN(C(=O)COc3ccc(OC(F)(F)F)cc3)[C@H](C(=O)N[C@H](C=O)C[C@@H]3CCNC3=O)[C@H]21,1.0,1.0
c1cnc(SCc2cccnc2)nc1,1.0,0.0
Sc1nnc(Nc2ccccc2)s1,1.0,0.0
O=C(/C=C/c1ccc2ccc(C(F)(F)F)cc2n1)c1ccncc1,1.0,0.0
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,0.0,1.0
CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21.CS(=O)(=O)O,0.0,1.0
CS(=O)CCCCN=C=S,1.0,0.0
COc1ccc(OCC(=O)N2C[C@H]3[C@@H]([C@H]2C(=O)N[C@H](C=O)C[C@@H]2CCNC2=O)C3(C)C)cc1F,1.0,1.0
Cn1nc(-c2ccc(C(F)(F)F)cc2)nc2c(=O)n(C)c(=O)nc1-2,1.0,1.0
COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,0.0,1.0
Nc1nc(-c2ccc(Cl)c(Cl)c2)c(-c2ccncc2)s1,1.0,0.0
COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,0.0,1.0
O=C(/C=C/c1ccccc1)N[C@@H](CC1CCCCC1)C(=O)NC1(C(=O)C(=O)NCc2ccccc2)CC1[C@@H]1CCNC1=O,1.0,1.0
CCN1CCN(C(c2ccc(C(F)(F)F)cc2)c2ccc3cccnc3c2O)CC1,1.0,0.0
CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,1.0,0.0
COc1cccc2[nH]c(C(=O)NC(CC(C)C)C(=O)NC(CC3CCNC3=O)C(=O)CO)cc12,1.0,1.0
COc1ccc2cc(-c3cc(-c4cc(Cl)cc(Cl)c4)nn3C(C)c3ccc(C(=O)NCCC(=O)O)cc3)ccc2c1,1.0,1.0
CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1.Cl,0.0,1.0
COc1ccc(OCC(=O)N2C[C@H]3[C@@H]([C@H]2C(=O)N[C@H](C=O)C[C@@H]2CCNC2=O)C3(C)C)cc1OC,1.0,1.0
COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,0.0,1.0
CNC(=O)c1ccc(C)c(-n2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)c1,0.0,1.0
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)/C=C/c1ccc(Cl)cc1F)C(C)C)C(=O)NC(C=O)C[C@@H]1CCNC1=O,1.0,0.0
NC(=O)N1CCC(CC(=O)N2CCC([C@H]3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1,0.0,1.0
COc1cc(-c2ccc(/N=N/c3ccc4c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c4c3O)c(OC)c2)ccc1/N=N/c1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2c1O,1.0,0.0
C/C=C1\C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC(=O)OCCc1ccc(O)c(O)c1,1.0,0.0
N=C(Nc1ccc(I)cc1)NC1C2CC3CC(C2)CC1C3,0.0,1.0
COc1ccc([N+](=O)[O-])c(S(=O)(=O)c2ccc(Cl)cc2)n1,1.0,0.0
Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCCCC2)n1,0.0,1.0
Cc1c(-c2cnccn2)ssc1=S,1.0,0.0
O=C1CC2OCC=C3CN4CC[C@]56c7ccccc7N1C5[C@H]2[C@H]3CC46,1.0,0.0
CCNC1=Nc2ccc(Cl)cc2C(C)(c2ccccc2)O1,0.0,1.0
