smiles,label_p53ts,label_cell
CCOc1cc(C(=O)CSc2nnc(CNc3ccc(Cl)cc3)o2)ccc1NC(=O)CC,1,1
Cc1cc2nc(-c3ccc(SCC(=O)N4CCN(C(=O)c5ccco5)CC4)nc3)[nH]c2cc1C,1,1
Cn1nnc(NC(=O)c2ccc(C(C)(C)C)cc2)n1,1,1
O=C(Nc1nc2c(s1)CCCC2)c1cccs1,1,1
CCc1nnc(NC2=NS(=O)(=O)c3ccccc32)s1,1,1
Cc1cc2nc(-c3ccc(SCC(=O)N4CCOCC4)nc3)[nH]c2cc1C,1,1
CC(C)c1ccc(NC(=O)c2csnn2)cc1,1,1
Cc1ccn2cc(C(=O)Nc3ccc4c(c3)OCCO4)nc2c1,1,1
Cc1ccc(Nc2nc3nonc3[nH]c2=O)cc1C,1,1
O=C(Nc1ccc2nc(-c3ccco3)[nH]c2c1)c1ccco1,1,1
Cc1ccc2nc3sc(C(=O)N4CCOCC4)c(N)c3cc2c1,1,1
O=C(NC1CC1)c1cccc(Nc2ccc(-c3ccc4c(c3)OCCO4)nn2)c1,1,1
Cc1ccc2nc(-c3ccccn3)oc2c1,1,1
O=C(Nc1ccc(NC(=O)C2CC2)nc1)c1ccccn1,1,1
c1ccc2nc(-c3nc4ccccc4[nH]3)ccc2c1,1,1
CN(C(=O)c1ccccc1)c1nc2ccccc2s1,1,1
Cl.Nc1nc(Nc2ccccc2)nc2ccccc12,1,1
CCc1ccc2oc(-c3cc(N=Cc4cccc(OC)c4O)ccc3O)nc2c1,1,1
O=C(Nc1ccc(NC(=O)c2cccs2)cn1)c1ccco1,1,1
O=C(c1ccc(N2CCOCC2)cc1)c1cccs1,1,1
CCOc1ccc2nc(-c3ccccc3)[nH]c2c1,1,1
Cc1ccc2nc(-c3ccc4c(c3)OCCO4)cc(C(=O)O)c2c1,1,1
COc1ccccc1OCC(=O)Nc1ccccn1,1,1
Cc1nnc(Sc2nc(Sc3nnc(C)s3)nc(N3CCN(C)CC3)n2)s1,1,1
Clc1ccc2c(c1)C1OCCC1C(c1ccco1)N2,1,1
COc1ccccc1N1CCN(c2ccc(-c3ccccc3)nn2)CC1,1,1
Cc1ccc(C(=O)Nc2nc3ccccc3c(=O)s2)cc1,1,1
CN1/C(=C\C(=O)c2cccs2)Sc2ccccc21,1,1
CCOC(=O)c1cnc2c(-c3ccccc3)cnn2c1N,1,1
N#CC(=C1CCCC1)c1nc(-c2ccccc2O)cs1,1,1
Cn1c(-c2ccco2)nc2cc3ccccc3cc21,1,1
CC(C)C(=O)Nc1ccc(NC(=O)c2ccccn2)cn1,1,1
O=c1c2c(nc3cc(-c4ccc(F)cc4)[nH]n13)CCCC2,1,1
O=c1/c(=C\c2ccc3c(c2)OCO3)sc2n1CCCN=2,1,1
CC(=O)Nc1cc(OC(C)=O)c2nonc2c1OC(C)=O,1,1
COc1ccc(C(=O)Nc2ccc(C)cn2)c(OC)c1,1,1
c1csc(-c2nnc(-c3ccc(N4CCOCC4)cc3)o2)c1,1,1
Clc1cccc(-c2nc(-c3ccccn3)no2)c1,1,1
CC(=O)Nc1ccc2nc(-c3ccccn3)[nH]c2c1,1,1
Nc1cccc(-c2nc3ccc(N)cc3s2)c1,1,1
CC1(C)Cc2c(sc(NC(=O)c3ccco3)c2C#N)CO1,1,1
CCCOC(=O)Nc1ccc(N2CCCCC2)cc1,1,1
CCC(C)C(=O)N1CCc2cc(-c3csc(N)n3)ccc21,1,1
Cc1cc(NC(=O)c2ccc(Cl)cc2)no1,1,1
COc1ccccc1C(=O)Nc1ccc2c(c1)OCCO2,1,1
Nc1ccc(-c2cnc(-c3ccc(N)cc3)nc2)cc1,1,1
Cc1ccccc1C(=O)Nc1ccc2c(c1)OCO2,1,1
Cc1cc(=O)n2[nH]c(-c3ccc(F)cc3)nc2n1,1,1
CCn1nc(-c2cccs2)nc2c(=O)n(C)c(=O)nc1-2,1,1
CCOc1ccc(N2C(=O)CC(SCCN)C2=O)cc1.Cl,1,1
CCn1nnc(NC(=O)c2ccc(C(C)(C)C)cc2)n1,1,1
Cc1cc2nc(-c3cccnc3SCC(=O)NCc3ccco3)[nH]c2cc1C,1,1
CCCOc1ccc(N2C(=O)CC(SCCN)C2=O)cc1.Cl,1,1
CCc1ccc2oc(-c3cc(N)ccc3O)nc2c1,1,1
COc1cccc(C(=O)Nc2ccc(NC(=O)C(C)(C)C)cn2)c1,1,1
Cn1c(C(=O)Nc2ccc3c(c2)OCCO3)cc2sccc21,1,1
CCOc1ccc(C(=O)Nc2nnn(CC)n2)cc1,1,1
COc1ccc2[nH]c3nc(SC(C)C)nnc3c2c1,1,1
O=C(Nc1ccc(NC(=O)c2ccco2)nc1)c1ccccn1,1,1
Cc1cc(C)c(C#N)c(SCC(=O)Nc2ccccc2C(N)=O)n1,1,1
O=C(Nc1ccc(N2CCOCC2)c(Cl)c1)c1ccco1,1,1
CCC(=O)Nc1ccc(NC(=O)c2ccco2)cc1,1,1
CCOC(=O)NC(=O)CSc1nc(C)cc(C)c1C#N,1,1
O=C(Nc1ccc(NC(=O)C2CCCCC2)cn1)c1ccco1,1,1
COc1cccc(NC(=O)c2ccc(CN3CCOCC3)cc2)c1,1,1
N=c1cc(C2(O)CCCCC2)n2c(nc3ccccc32)s1,1,1
COc1ccccc1NC(=O)CSc1nnc(-c2ccc(C)cc2)o1,1,1
CCOC(=O)Cc1csc(NC(=O)CSc2nnc(-c3ccc(C)cc3)o2)n1,1,1
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,1,1
